"","customernumber","date","salutation","title","domain","datecreated","newsletter","model","paymenttype","deliverytype","invoicepostcode","delivpostcode","voucher","advertisingdatacode","case","numberitems","gift","entry","points","shippingcosts","deliverydatepromised","deliverydatereal","weight","remi","cancel","used","w0","w1","w2","w3","w4","w5","w6","w7","w8","w9","w10","target90"
"6521",47009,"2008-09-24",0,0,6,"2008-09-24",1,2,0,0,52,"",1,"",1,3,0,1,0,0,"2008-09-25","2008-09-25",1164,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1
"6522",65766,"2008-10-24",1,0,9,"2008-10-24",0,1,0,0,77,"",0,"BQ",4,1,0,0,0,0,"2008-10-28","2008-10-25",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"6523",20389,"2008-04-02",1,0,8,"2008-04-02",0,1,2,0,30,"",0,"BL",4,2,0,0,0,0,"2008-05-02","2008-04-03",1190,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"6524",38141,"2008-08-11",0,0,4,"2008-08-11",0,2,0,0,44,"",0,"",2,2,0,1,0,1,"2008-08-13","2008-08-12",555,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"6525",27129,"2008-08-04",0,0,5,"2008-08-04",0,1,0,0,41,"",0,"BQ",3,1,0,0,0,1,"2008-08-05","2008-08-05",560,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"6526",57942,"2008-06-18",0,0,9,"2008-06-18",1,2,0,0,50,"",1,"BD",1,3,0,1,0,0,"2008-06-20","2008-06-19",1433,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
"6527",4552,"2008-04-21",0,0,12,"2008-04-21",0,3,1,1,38,"",0,"",4,2,0,1,0,0,"2008-04-22","2008-04-21",323,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"6528",35049,"2008-05-23",0,0,12,"2008-05-23",0,1,3,0,30,"",0,"",4,5,0,0,0,0,"2008-05-26","2008-05-24",2028,0,1,5,0,0,4,0,0,0,0,0,0,0,0,0
"6529",33508,"2008-10-20",0,0,1,"2008-10-20",1,1,3,0,76,"",0,"BQ",4,4,0,0,0,0,"2008-10-22","0000-00-00",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1
"6530",27107,"2008-05-28",0,0,4,"2008-05-28",0,1,0,0,67,"",1,"BD",3,1,0,0,0,0,"2008-05-29","2008-05-29",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"6531",34714,"2008-07-12",1,0,8,"2008-07-12",0,1,3,0,50,"",0,"",5,3,0,0,0,0,"2008-07-29","2008-07-17",1820,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1
"6532",55567,"2008-08-13",1,0,1,"2008-08-13",0,1,0,0,47,"",0,"CA",4,1,0,0,0,0,"2008-08-14","2008-08-14",2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"6533",26126,"2008-04-17",0,0,4,"2008-04-17",0,3,1,1,52,"",0,"",2,1,0,1,0,0,"2008-04-21","2008-04-19",323,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6534",35688,"2008-04-17",0,0,3,"2008-04-17",0,1,0,0,21,"21",1,"",4,2,0,0,0,0,"2008-04-18","2008-04-18",370,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"6535",14558,"2008-08-08",0,0,9,"2008-08-08",0,2,0,0,46,"",1,"",1,2,0,1,0,0,"2008-08-12","2008-08-09",1131,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"6536",42406,"2008-08-30",0,0,11,"2008-08-30",0,1,3,0,81,"",0,"",2,1,0,0,0,0,"2008-09-02","0000-00-00",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"6537",31408,"2008-09-08",0,0,12,"2008-09-08",1,1,0,0,42,"",0,"BQ",3,3,0,0,0,1,"2008-09-10","2008-09-09",932,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
"6538",61265,"2008-10-11",1,0,11,"2008-10-11",0,2,1,1,58,"",0,"",2,1,0,1,0,0,"2008-10-14","2008-10-13",785,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6539",37020,"2008-09-01",0,0,10,"2008-09-01",0,1,1,1,85,"",0,"",2,1,0,0,0,0,"2008-09-02","2008-09-02",271,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"6540",65066,"2008-11-08",1,0,5,"2008-11-08",0,1,0,0,39,"",0,"",5,7,0,0,0,0,"2008-11-11","2008-11-08",3968,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0
"6541",46300,"2008-10-03",0,0,9,"2008-10-03",0,2,1,1,40,"",0,"",4,1,0,1,0,0,"2008-10-06","2008-10-05",2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"6542",11458,"2008-09-24",0,0,5,"2008-09-24",0,2,0,0,44,"",0,"",3,3,0,1,0,0,"2008-09-26","2008-09-25",770,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1
"6543",53716,"2008-09-01",0,0,9,"2008-09-01",0,2,1,1,44,"",0,"",3,2,0,1,0,0,"2008-09-02","2008-09-02",477,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"6544",41496,"2008-09-08",0,0,1,"2008-09-08",0,3,3,0,55,"",0,"",4,1,0,1,0,0,"2008-09-10","0000-00-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"6545",553,"2008-09-12",0,0,5,"2008-09-12",0,3,1,1,73,"",0,"",4,2,0,1,0,0,"2008-09-16","2008-09-15",926,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"6546",27856,"2008-09-06",0,0,8,"2008-09-06",0,3,0,0,6,"",0,"",3,2,0,1,0,0,"2008-09-09","2008-09-08",554,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"6547",30169,"2008-12-02",1,0,12,"2008-12-02",0,1,3,0,56,"",0,"",1,1,0,0,0,0,"2008-12-04","0000-00-00",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"6548",4284,"2008-06-17",1,0,12,"2008-06-17",0,1,0,0,12,"",0,"",4,3,0,0,0,0,"2008-06-19","2008-06-18",1078,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"6549",7900,"2008-09-03",1,0,4,"2008-09-03",0,1,2,0,31,"",0,"",4,2,0,0,0,0,"2008-09-04","2008-09-03",257,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"6550",29360,"2008-09-01",0,0,9,"2008-09-01",0,1,2,0,64,"",0,"",3,1,0,0,0,0,"2008-09-16","2008-09-03",770,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6551",52127,"2008-09-19",0,0,9,"2008-09-19",1,1,2,0,97,"",1,"",1,1,0,0,0,0,"2008-09-23","0000-00-00",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"6552",12580,"2008-04-08",2,0,12,"2008-04-08",0,3,0,0,78,"",0,"",4,2,0,1,0,0,"2008-04-10","2008-04-09",472,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"6553",16380,"2008-06-22",1,0,11,"2008-06-22",0,1,0,0,55,"",0,"",2,1,0,0,0,1,"2008-06-24","2008-06-23",230,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6554",34040,"2008-08-13",1,0,12,"2008-08-13",1,2,1,1,59,"",0,"",2,1,0,1,0,0,"2008-08-15","2008-08-15",353,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"6555",20264,"2008-12-09",0,0,4,"2008-12-09",0,3,0,0,92,"",0,"",5,2,0,1,0,0,"2008-12-11","2008-12-10",714,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"6556",6175,"2008-06-15",0,0,11,"2008-06-14",0,1,1,1,13,"",0,"",2,3,0,0,0,0,"2008-07-01","2008-06-17",938,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"6557",35849,"2008-12-09",0,0,12,"2008-12-09",0,1,3,0,10,"",1,"",4,2,0,0,0,0,"2008-12-23","2008-12-20",560,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"6558",50315,"2008-05-27",1,0,12,"2008-05-27",0,2,0,0,44,"",0,"",3,1,0,1,0,0,"2008-05-28","2008-05-27",978,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6559",41357,"2008-08-27",0,0,9,"2008-08-27",0,3,2,0,38,"",0,"",3,1,0,1,0,0,"2008-08-29","2008-08-28",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"6560",23647,"2008-08-26",0,0,12,"2008-08-26",0,3,1,1,23,"",0,"",1,1,0,1,0,0,"2008-08-27","2008-08-26",121,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6561",7358,"2008-04-13",1,0,2,"2008-04-13",0,3,1,1,99,"",0,"",4,2,0,1,0,0,"2008-04-28","2008-04-24",1109,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"6562",23734,"2008-06-29",2,0,4,"2008-06-29",0,1,0,0,86,"",0,"BQ",3,1,0,0,0,0,"2008-07-01","2008-06-30",177,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6563",65998,"2008-08-27",1,0,4,"2008-08-27",0,3,1,1,21,"",0,"",4,2,0,1,0,0,"2008-08-29","2008-08-28",1435,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"6564",55344,"2008-04-07",0,0,0,"2008-04-07",1,1,0,0,6,"",0,"BD",4,2,0,0,0,0,"2008-04-08","2008-04-07",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"6565",61328,"2008-12-03",0,0,11,"2008-12-03",1,1,2,0,84,"",0,"",4,5,0,0,0,0,"2009-12-08","2008-12-04",2306,0,1,4,0,3,0,0,0,0,0,0,0,0,0,1
"6566",58873,"2008-12-05",2,0,12,"2008-12-05",0,2,1,1,40,"",0,"",5,4,0,1,0,0,"2008-12-08","2008-12-06",939,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0
"6567",35819,"2008-08-24",0,0,8,"2008-08-24",0,2,0,0,41,"15",1,"",1,1,1,1,0,1,"2008-08-26","2008-08-25",526,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"6568",13365,"2008-06-03",2,0,9,"2008-06-03",0,1,0,0,65,"",0,"",5,7,0,0,0,0,"2008-06-04","2008-06-04",539,7,0,0,5,2,0,0,0,0,0,0,0,0,0,1
"6569",49029,"2008-08-27",1,0,12,"2008-08-27",0,1,3,0,80,"",0,"BQ",2,1,0,0,0,0,"2008-08-28","0000-00-00",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"6570",60889,"2008-08-08",1,0,6,"2008-08-08",0,1,2,0,45,"",0,"",4,5,0,0,0,0,"2008-08-21","2008-09-06",1886,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1
"6571",49240,"2008-11-30",1,0,12,"2008-11-30",0,2,3,0,52,"",0,"",4,3,0,1,0,0,"2008-12-02","2008-11-30",844,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"6572",50463,"2008-09-17",0,0,4,"2008-09-17",0,2,0,0,92,"",1,"",1,1,0,1,0,1,"2008-09-19","2008-09-18",642,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6573",14122,"2008-10-30",0,0,4,"2008-10-30",0,1,0,0,58,"",0,"",4,2,0,0,0,0,"2008-10-31","2008-11-04",510,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"6574",66136,"2008-09-14",0,0,12,"2008-09-14",0,1,0,0,38,"",1,"AR",1,1,0,0,0,0,"2008-09-16","0000-00-00",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"6575",59753,"2008-09-21",0,0,9,"2008-09-21",0,3,1,1,22,"",0,"",2,2,0,1,0,0,"2008-09-23","2008-09-22",368,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
"6576",12603,"2008-07-13",0,0,8,"2008-07-13",1,3,0,0,64,"",0,"",3,1,0,1,0,0,"2008-07-15","2008-07-14",852,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6577",15644,"2008-05-06",0,0,9,"2008-05-06",0,2,2,0,51,"",0,"",2,1,0,1,0,1,"2008-05-08","2008-05-07",198,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"6578",7802,"2008-06-15",1,0,1,"2008-06-15",0,1,2,0,90,"",0,"",1,1,0,0,0,0,"2008-06-17","0000-00-00",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"6579",38301,"2008-11-08",0,0,5,"2008-11-08",0,3,0,0,73,"",0,"",3,1,0,1,0,0,"2008-11-11","2008-11-10",614,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6580",27943,"2008-11-22",1,0,8,"2008-11-22",0,1,0,0,72,"",0,"",4,1,0,0,0,0,"2008-11-25","2008-11-24",925,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"6581",25951,"2008-04-01",0,1,12,"2008-04-01",0,1,3,0,37,"",0,"",5,6,0,0,0,0,"2008-04-03","2008-04-02",2251,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0
"6582",206,"2008-06-27",0,0,8,"2008-06-27",0,2,1,1,44,"",0,"",4,3,0,1,0,0,"2008-07-01","2008-06-28",987,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"6583",57649,"2008-07-24",1,0,2,"2008-07-24",0,1,0,0,94,"",1,"AR",1,1,0,0,0,0,"2008-07-25","0000-00-00",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"6584",35722,"2008-07-28",0,0,8,"2008-07-28",1,3,0,0,68,"",0,"",2,1,0,1,0,1,"2008-07-29","2008-07-28",298,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"6585",30164,"2008-12-12",0,0,8,"2008-12-12",1,3,0,0,24,"",0,"",3,2,0,1,0,0,"2008-12-15","2008-12-12",632,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"6586",41300,"2008-07-05",1,0,8,"2008-07-05",0,1,2,0,31,"",0,"BQ",4,3,0,0,0,0,"2008-07-08","2008-07-07",726,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"6587",47453,"2008-08-27",0,0,9,"2008-08-27",1,1,0,0,32,"32",0,"CA",2,1,0,0,0,1,"2008-08-29","2008-08-28",859,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"6588",15800,"2008-07-19",1,0,9,"2008-07-19",0,1,0,0,6,"",0,"",4,1,0,0,0,0,"2009-07-23","2008-09-01",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6589",47535,"2008-05-15",1,0,12,"2008-05-15",0,3,1,1,22,"",0,"",2,1,0,1,0,0,"2008-05-28","2008-05-17",456,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6590",58159,"2008-08-03",1,0,9,"2008-07-21",0,1,3,0,26,"",0,"BR",5,6,0,0,0,0,"2008-08-05","2008-08-04",2326,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0
"6591",7948,"2008-11-28",0,0,9,"2008-11-28",0,1,1,1,21,"",0,"BZ",3,2,0,0,0,0,"2008-12-01","2008-11-28",444,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"6592",15395,"2008-04-05",1,0,4,"2008-04-05",0,2,0,0,33,"",1,"",1,1,0,1,0,1,"2008-04-08","2008-04-07",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6593",9636,"2008-06-25",0,0,11,"2008-06-25",0,1,0,0,32,"",0,"BQ",3,4,0,0,0,0,"2008-06-27","2008-06-26",736,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
"6594",16659,"2008-04-15",1,0,9,"2008-04-15",0,1,0,0,24,"",0,"AB",4,4,0,0,0,0,"2008-04-17","2008-04-16",1660,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
"6595",60752,"2008-09-15",0,0,11,"2008-09-15",0,1,0,0,40,"",0,"",2,1,0,0,0,1,"2008-09-30","2008-09-19",223,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6596",37769,"2008-11-06",1,0,12,"2008-11-06",1,3,1,1,24,"",0,"",1,1,0,1,0,0,"2008-11-07","2008-11-06",165,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6597",48194,"2008-08-03",0,0,4,"2008-08-03",0,2,0,0,44,"",0,"",4,2,0,1,0,0,"2008-08-05","2008-08-05",856,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
"6598",55644,"2008-12-22",1,0,12,"2008-12-22",0,3,1,1,79,"",0,"",4,2,0,1,0,0,"2008-12-24","2008-12-23",764,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"6599",6508,"2008-08-01",1,0,9,"2008-08-01",0,1,0,0,50,"",0,"",2,1,0,0,0,1,"2008-08-14","2008-08-07",409,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6600",1707,"2008-11-16",1,0,4,"2008-11-16",1,3,1,1,80,"",0,"",3,1,0,1,0,0,"2008-11-18","2008-11-17",798,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6601",12350,"2008-05-18",1,0,9,"2008-05-18",0,1,3,0,60,"",1,"",3,2,0,0,0,0,"2008-05-20","2008-05-19",510,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"6602",452,"2008-07-01",0,0,12,"2008-07-01",0,3,0,0,23,"",0,"",4,2,0,1,0,0,"2008-07-03","2008-07-02",1115,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"6603",24036,"2008-08-14",1,0,9,"2008-08-14",0,3,3,0,34,"",0,"",5,7,0,1,0,0,"2008-08-28","2008-08-16",2244,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
"6604",65736,"2008-04-18",1,0,4,"2008-04-18",0,1,3,0,71,"",0,"",3,1,0,0,0,0,"2008-04-22","0000-00-00",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"6605",45842,"2008-12-17",0,0,2,"2008-12-17",0,1,2,0,1,"",0,"",1,1,0,0,0,0,"2008-12-18","0000-00-00",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"6606",31046,"2008-04-01",1,0,9,"2008-04-01",0,1,1,1,22,"",0,"",3,1,0,0,0,0,"2009-04-06","0000-00-00",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"6607",12463,"2008-09-23",0,0,8,"2008-09-23",0,2,1,1,42,"",0,"",3,1,0,1,0,0,"2008-09-25","2008-09-24",752,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"6608",45741,"2008-11-27",1,0,12,"2008-11-27",0,1,3,0,27,"",0,"",1,1,0,0,0,0,"2008-12-01","0000-00-00",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"6609",47085,"2008-09-22",0,0,4,"2008-09-22",0,1,1,1,26,"",0,"AB",4,4,0,0,0,0,"2008-09-24","2008-09-24",883,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"6610",28364,"2008-07-25",0,0,12,"2008-07-25",0,1,2,0,78,"",0,"",4,1,0,0,0,0,"2008-07-28","2008-07-25",37,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"6611",36454,"2008-07-16",2,0,12,"2008-07-16",0,3,0,0,83,"",0,"",3,1,0,1,0,0,"2008-07-17","2008-07-17",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6612",46963,"2008-05-24",0,0,11,"2008-05-24",0,1,0,0,10,"",0,"",4,1,0,0,0,0,"2008-06-06","2008-06-09",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"6613",25379,"2008-12-12",0,0,9,"2008-12-12",0,3,1,1,92,"",0,"",3,1,0,1,0,0,"2008-12-15","2008-12-12",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6614",28892,"2008-07-25",0,0,12,"2008-07-25",0,1,0,0,28,"",1,"AP",1,1,0,0,0,0,"2008-07-29","0000-00-00",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"6615",10143,"2008-12-11",0,0,12,"2008-12-11",0,2,0,0,50,"",1,"",4,2,0,1,0,0,"2009-12-15","2008-12-11",954,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
